Fejér, vármegye, 137418, 2, 113339, 15, 47513, 14, 121220, 77
Győr-Moson-Sopron, vármegye, 191780, 2, 80819, 10, 10689, 4, 189958, 167
Vas, vármegye, 77757, 1, 74252, 12, 0, 0, 96190, 203
Zala, vármegye, 97654, 2, 45394, 8, 9148, 3, 107928, 245
Baranya, vármegye, 140330, 1, 91369, 13, 5869, 3, 115763, 284
Somogy, vármegye, 58830, 1, 92027, 15, 4303, 2, 137531, 228
Tolna , vármegye, 29707, 1, 86412, 10, 14765, 5, 75514, 93
Borsod-Abaúj-Zemplén, vármegye, 143502, 1, 214252, 28, 27865, 9, 232181, 320
Heves, vármegye, 49499, 1, 83386, 10, 14290, 5, 137883, 105
Nógrád , vármegye, 30910, 1, 41280, 5, 0, 0, 108279, 125
Szabolcs-Szatmár-Bereg, vármegye, 115359, 1, 174884, 28, 40863, 15, 193407, 185
Csongrád-Csanád, vármegye, 199711, 2, 92321, 8, 29058, 8, 68321, 42
